,Close,MA_50
0,39.47999954223633,
1,35.54750061035156,
2,37.064998626708984,
3,36.98249816894531,
4,37.6875,
5,38.32749938964844,
6,38.45000076293945,
7,38.0724983215332,
8,37.5,
9,38.26750183105469,
10,38.73500061035156,
11,38.96500015258789,
12,39.20500183105469,
13,38.32500076293945,
14,38.47999954223633,
15,38.17499923706055,
16,39.439998626708984,
17,39.07500076293945,
18,38.66999816894531,
19,41.3125,
20,41.61000061035156,
21,41.630001068115234,
22,42.8125,
23,43.54499816894531,
24,43.560001373291016,
25,42.73500061035156,
26,42.602500915527344,
27,42.35749816894531,
28,42.72249984741211,
29,42.54499816894531,
30,42.70000076293945,
31,42.60499954223633,
32,42.73249816894531,
33,43.00749969482422,
34,42.76499938964844,
35,43.24250030517578,
36,43.557498931884766,
37,43.58250045776367,
38,43.717498779296875,
39,43.287498474121094,
40,43.74250030517578,
41,43.962501525878906,
42,43.88249969482422,
43,43.630001068115234,
44,43.125,
45,43.227500915527344,
46,44.724998474121094,
47,45.227500915527344,
48,45.4275016784668,
49,45.932498931884766,41.359249877929685
50,46.529998779296875,41.5002498626709
51,47.005001068115234,41.729399871826175
52,46.63249969482422,41.92074989318848
53,47.040000915527344,42.12189994812012
54,48.772499084472656,42.34359992980957
55,47.76250076293945,42.53229995727539
56,47.185001373291016,42.706999969482425
57,46.6974983215332,42.879499969482424
58,47.11750030517578,43.071849975585934
59,47.18000030517578,43.25009994506836
60,47.48749923706055,43.42514991760254
61,47.810001373291016,43.6020499420166
62,48.505001068115234,43.788049926757814
63,48.837501525878906,43.9982999420166
64,48.92250061035156,44.2071499633789
65,49.25,44.428649978637694
66,50.025001525878906,44.64035003662109
67,49.875,44.8563500213623
68,50.154998779296875,45.086050033569336
69,49.73749923706055,45.254550018310546
70,49.717498779296875,45.416699981689455
71,49.807498931884766,45.58024993896484
72,49.8125,45.72024993896484
73,50.782501220703125,45.865
74,50.96500015258789,46.01309997558594
75,51.13249969482422,46.18104995727539
76,51.869998931884766,46.366399917602536
77,51.790000915527344,46.55504997253418
78,51.31999969482422,46.72699996948242
79,51.07500076293945,46.89760002136231
80,51.15250015258789,47.066650009155275
81,50.16749954223633,47.21790000915527
82,52.630001068115234,47.41585006713867
83,52.287498474121094,47.60145004272461
84,52.9375,47.80490005493164
85,52.119998931884766,47.98245002746582
86,50.71500015258789,48.125600051879886
87,50.724998474121094,48.26845001220703
88,50.18000030517578,48.39770004272461
89,49.29499816894531,48.51785003662109
90,46.43000030517578,48.57160003662109
91,47.165000915527344,48.63565002441406
92,47.72999954223633,48.712600021362306
93,47.52000045776367,48.79040000915527
94,47.25,48.87290000915527
95,45.772499084472656,48.92379997253418
96,46.650001525878906,48.962300033569335
97,45.69499969482422,48.971650009155276
98,44.915000915527344,48.961399993896485
99,44.74250030517578,48.93760002136231
100,44.557498931884766,48.898150024414065
101,44.345001220703125,48.84495002746582
102,44.57500076293945,48.80380004882812
103,43.76750183105469,48.73835006713867
104,43.32500076293945,48.62940010070801
105,44.90999984741211,48.57235008239746
106,45.6349983215332,48.541350021362305
107,46.30500030517578,48.533500061035156
108,47.537498474121094,48.54190002441406
109,48.14500045776367,48.56120002746582
110,48.70249938964844,48.58550003051758
111,48.54750061035156,48.60025001525879
112,48.537498474121094,48.60089996337891
113,48.185001373291016,48.58784996032715
114,48.47249984741211,48.578849945068356
115,49.61249923706055,48.58609992980957
116,49.467498779296875,48.57494987487793
117,49.8650016784668,48.57474990844727
118,49.69499969482422,48.56554992675781
119,49.64500045776367,48.56369995117188
120,48.89250183105469,48.54720001220703
121,49.95000076293945,48.550050048828126
122,49.935001373291016,48.552500076293946
123,49.47999954223633,48.52645004272461
124,50.38750076293945,48.514900054931644
125,50.682498931884766,48.50590003967285
126,51.102500915527344,48.4905500793457
127,51.057498931884766,48.47590003967285
128,50.005001068115234,48.449600067138675
129,50.310001373291016,48.434300079345704
130,50.807498931884766,48.42740005493164
131,50.4375,48.43280006408691
132,50.82500076293945,48.396700057983395
133,51.3025016784668,48.377000122070314
134,51.125,48.34075012207031
135,50.837501525878906,48.31510017395019
136,51.415000915527344,48.32910018920899
137,50.647499084472656,48.32755020141602
138,51.80500030517578,48.360050201416016
139,52.209999084472656,48.41835021972656
140,52.16749954223633,48.53310020446777
141,51.755001068115234,48.62490020751953
142,51.935001373291016,48.709000244140626
143,52.41999816894531,48.80700019836426
144,52.19499969482422,48.905900192260745
145,53.2599983215332,49.05565017700195
146,52.10749816894531,49.16480010986328
147,51.005001068115234,49.2710001373291
148,48.334999084472656,49.339400100708005
149,49.25,49.429550094604494
150,49.7599983215332,49.53360008239746
151,50.85749816894531,49.66385002136231
152,50.247501373291016,49.77730003356933
153,50.119998931884766,49.90434997558594
154,52.24250030517578,50.08269996643067
155,50.6875,50.19824996948242
156,50.435001373291016,50.29425003051758
157,51.625,50.40065002441406
158,52.587501525878906,50.50165008544922
159,52.59000015258789,50.590550079345704
160,53.15999984741211,50.67970008850098
161,53.1150016784668,50.77105010986328
162,50.65999984741211,50.8135001373291
163,51.622501373291016,50.8822501373291
164,51.040000915527344,50.933600158691405
165,51.38249969482422,50.96900016784668
166,52.252498626708984,51.02470016479492
167,52.185001373291016,51.07110015869141
168,51.42499923706055,51.10570014953613
169,52.29750061035156,51.15875015258789
170,53.31999969482422,51.24730010986328
171,53.314998626708984,51.31460006713867
172,53.54249954223633,51.386750030517575
173,54.17499923706055,51.48065002441406
174,55.897499084472656,51.590849990844724
175,55.772499084472656,51.69264999389648
176,54.6875,51.76434997558594
