,Close,MA_50
0,101.12000274658205,
1,97.4000015258789,
2,101.93000030517578,
3,102.05999755859376,
4,102.8000030517578,
5,104.2699966430664,
6,103.5999984741211,
7,102.8000030517578,
8,102.0500030517578,
9,105.01000213623048,
10,105.37999725341795,
11,106.12000274658205,
12,107.70999908447266,
13,105.68000030517578,
14,106.70999908447266,
15,106.1999969482422,
16,107.16999816894533,
17,105.08000183105467,
18,102.94000244140624,
19,106.37999725341795,
20,104.43000030517578,
21,102.77999877929688,
22,105.73999786376952,
23,107.22000122070312,
24,106.02999877929688,
25,105.2699966430664,
26,105.66999816894533,
27,105.25,
28,106.88999938964844,
29,106.80999755859376,
30,106.9000015258789,
31,108.22000122070312,
32,108.16999816894533,
33,107.1500015258789,
34,109.41000366210938,
35,110.97000122070312,
36,111.58999633789062,
37,112.36000061035156,
38,112.16999816894533,
39,112.02999877929688,
40,112.52999877929688,
41,112.26000213623048,
42,111.6999969482422,
43,111.75,
44,110.38999938964844,
45,110.51000213623048,
46,112.83000183105467,
47,113.62000274658205,
48,114.5,
49,114.58999633789062,107.24299987792969
50,115.91000366210938,107.53879989624023
51,117.56999969482422,107.94219985961914
52,117.6500015258789,108.2565998840332
53,117.5199966430664,108.56579986572265
54,120.22000122070312,108.91419982910156
55,117.0500030517578,109.16979995727539
56,117.66000366210938,109.45100006103516
57,117.91000366210938,109.75320007324218
58,116.7699966430664,110.04759994506836
59,116.93000030517578,110.28599990844727
60,117.94000244140624,110.53720001220704
61,119.0199966430664,110.79519989013671
62,119.19000244140624,111.02479995727539
63,119.97000122070312,111.31059997558594
64,119.36000061035156,111.56360000610351
65,119.88999938964844,111.83740005493163
66,119.93000030517578,112.09260009765624
67,119.27999877929688,112.3766000366211
68,120.19000244140624,112.7216000366211
69,120.33000183105467,113.00060012817383
70,120.9499969482422,113.33100006103516
71,121.0500030517578,113.69640014648438
72,120.7699966430664,113.99700012207032
73,121.7699966430664,114.28800003051758
74,123.37000274658205,114.63480010986328
75,123.76000213623048,115.00460021972657
76,125.44000244140624,115.40000030517578
77,125.01000213623048,115.79520034790039
78,129.14999389648438,116.24040023803711
79,129.88999938964844,116.7020002746582
80,129.77000427246094,117.15940032958984
81,130.60000610351562,117.60700042724609
82,127.87999725341795,118.00120040893555
83,126.20999908447266,118.38240036010743
84,128.89999389648438,118.77220016479492
85,128.14999389648438,119.11580001831055
86,125.5199966430664,119.39440002441407
87,125.51000213623048,119.65740005493164
88,125.5,119.92400009155273
89,127.12999725341795,120.22600006103515
90,123.3499984741211,120.44240005493164
91,124.7300033569336,120.6918000793457
92,126.0199966430664,120.97820007324219
93,128.92999267578125,121.32179992675782
94,128.07000732421875,121.67540008544921
95,126.22000122070312,121.98960006713867
96,126.9000015258789,122.27100006103515
97,127.66999816894533,122.55199996948242
98,126.18000030517578,122.78559997558594
99,126.23999786376952,123.01860000610351
100,126.16000366210938,123.22360000610351
101,124.94000244140624,123.37100006103516
102,125.7300033569336,123.53260009765626
103,123.68000030517578,123.65580017089843
104,119.83999633789062,123.6482000732422
105,123.16000366210938,123.77040008544923
106,125.83000183105467,123.93380004882812
107,127.81999969482422,124.13199996948242
108,131.39999389648438,124.42459991455078
109,132.60000610351562,124.73800003051758
110,132.10000610351562,125.02120010375977
111,131.49000549316406,125.27060028076171
112,132.32000732421875,125.53320037841797
113,132.4499969482422,125.78280029296874
114,132.85000610351562,126.05260040283203
115,135.16000366210938,126.35800048828125
116,135.69000244140625,126.67320053100586
117,136.9499969482422,127.02660049438477
118,136.97000122070312,127.3622004699707
119,137.77999877929688,127.71120040893555
120,133.42999267578125,127.96080032348632
121,133.92999267578125,128.2184001159668
122,134.14999389648438,128.48600006103516
123,133.9600067138672,128.72980026245116
124,135.67999267578125,128.97600006103517
125,136.5800018310547,129.23240005493165
126,137.4600067138672,129.47280014038085
127,137.05999755859375,129.71380004882812
128,136.9600067138672,129.87000030517578
129,136.4600067138672,130.00140045166015
130,137.85000610351562,130.16300048828126
131,138.39999389648438,130.31900024414062
132,138.89999389648438,130.53940017700197
133,138.89999389648438,130.7932000732422
134,137.0800018310547,130.95680023193358
