bond_sym_id,previous yield,volume_weighted_yield_predicted,direction,percentage_change,trd_exctn_dt,error,volume_weighted_yield_actual
A4404722,5.484954666666666,6.105879766730691,up,11.32051471341286,2023-09-12,-0.4898744612551864,5.616005305475505
A4881169,5.366766390243902,6.042064377244499,up,12.58295848740877,2023-09-12,-0.6411386986730703,5.400925678571428
A4996671,5.478077,6.029283042815113,up,10.062035323985276,2023-09-12,-0.4881913761484462,5.5410916666666665
A5143230,5.435136788417211,6.054019189898724,up,11.386694127007251,2023-09-12,-0.6055512824653437,5.44846790743338
AA.GI,6.23795385326087,6.075859293401281,down,-2.5985213047841684,2023-09-12,0.07254009949859963,6.148399392899881
AA.HO,6.344836006464123,5.91110622676079,down,-6.835949412426882,2023-09-12,0.4446808267934399,6.35578705355423
AA.HQ,6.158208009060224,6.137071970504902,down,-0.3432173535584639,2023-09-12,0.04202398305360333,6.179095953558505
AA4165125,6.2427147969881585,6.206450691062213,down,-0.5809028140039538,2023-09-12,0.0654744357493815,6.2719251268115945
AA4979362,6.285333311099796,6.142449917995302,down,-2.273282673047178,2023-09-12,0.09775865488843127,6.240208572883733
AA5243241,6.123338916666665,6.055341492002811,down,-1.1104631899236594,2023-09-12,0.07767374782588377,6.133015239828695
AAGH4973989,6.847397616853933,6.196957553228057,down,-9.499084177978894,2023-09-12,0.6973634467719423,6.894321
AAGI4343522,,no data prior to target date,N/A,N/A,,N/A,5.61602
AAGI5043576,5.834992999999999,5.829151371530289,down,-0.10011371855476535,2023-09-12,0.21660462846971118,6.045756
AAL5005428,0.411168219858156,6.158718679926879,up,1397.8586336394144,2023-09-12,-5.844693679926879,0.314025
AAL5291551,5.9354059999999995,5.997721776904303,up,1.049899145977604,2023-09-12,0.022947223095696856,6.020669
AAP5009293,6.566590317870346,6.212694705762191,down,-5.389335941136177,2023-09-12,0.7151086593908627,6.9278033651530535
AAP5049981,6.258401534508075,6.083350163298407,down,-2.7970620012866854,2023-09-12,0.588342628821156,6.671692792119563
AAP5372191,6.60747342427257,6.025845903333753,down,-8.802570719425166,2023-09-12,0.9886468526774799,7.014492756011233
AAP5552143,6.238549241237113,6.124366631209379,down,-1.8302750465281428,2023-09-12,0.4087812778927731,6.533147909102152
AAP5552144,6.37721831329114,6.084669395372517,down,-4.587406350961897,2023-09-12,0.6557239255046357,6.7403933208771525
AAPL4001810,5.088567949709864,5.796743947060221,up,13.916999917250491,2023-09-12,-0.6982823318110443,5.098461615249176
AAPL4122386,4.9363648181818185,5.759072771668016,up,16.666271310741998,2023-09-12,-0.7723589912941842,4.986713780373832
AAPL4122390,5.425460972959096,6.181217297358972,up,13.929808511509394,2023-09-12,-0.6729457356486623,5.50827156171031
AAPL4208639,5.024264146551725,5.747898728901545,up,14.402797329962592,2023-09-12,-0.6977122568820802,5.0501864720194645
